category,rule_type,value,match_mode,memo

wirelessinearheadphones,allow,完全ワイヤレス,contains,
wirelessinearheadphones,allow,ワイヤレスイヤホン,contains,
wirelessinearheadphones,allow,Bluetooth イヤホン,contains,
wirelessinearheadphones,allow,Bluetoothイヤホン,contains,
wirelessinearheadphones,allow,Earbuds,contains,
wirelessinearheadphones,allow,True Wireless,contains,
wirelessinearheadphones,allow,TWS,contains,
wirelessinearheadphones,allow,AirPods,contains,

wirelessinearheadphones,deny,ゲーミング,contains,
wirelessinearheadphones,deny,ゲーム用,contains,
wirelessinearheadphones,deny,Gaming,contains,
wirelessinearheadphones,deny,ヘッドセット,contains,
wirelessinearheadphones,deny,オープンイヤー,contains,
wirelessinearheadphones,deny,イヤーカフ,contains,
wirelessinearheadphones,deny,耳掛け,contains,
wirelessinearheadphones,deny,ネックバンド,contains,
wirelessinearheadphones,deny,片耳,contains,
wirelessinearheadphones,deny,骨伝導,contains,
wirelessinearheadphones,deny,QuietComfort SC Headphones,contains,
wirelessinearheadphones,deny,QuietComfort Ultra Headphones,contains,
wirelessinearheadphones,deny,Headphones LE,contains,

wirelessoverearheadphones,allow,ワイヤレスヘッドホン,contains,
wirelessoverearheadphones,allow,完全ワイヤレスヘッドホン,contains,
wirelessoverearheadphones,allow,オーバーイヤー,contains,
wirelessoverearheadphones,allow,オーバーイヤー型,contains,
wirelessoverearheadphones,allow,Bluetoothヘッドホン,contains,
wirelessoverearheadphones,allow,Bluetooth ヘッドホン,contains,
wirelessoverearheadphones,allow,Headphones,contains,

wirelessoverearheadphones,deny,ゲーミング,contains,
wirelessoverearheadphones,deny,ゲーム用,contains,
wirelessoverearheadphones,deny,Gaming,contains,
wirelessoverearheadphones,deny,イヤホン,contains,
wirelessoverearheadphones,deny,Earbuds,contains,
wirelessoverearheadphones,deny,オープンイヤー,contains,
wirelessoverearheadphones,deny,イヤーカフ,contains,
wirelessoverearheadphones,deny,ネックバンド,contains,
wirelessoverearheadphones,deny,骨伝導,contains,
wirelessoverearheadphones,deny,オンイヤー,contains,
