asin,title,brand,price_yen,amazon_url,image_url,category,source_file,source_row
B07MXF2TR1,SELLE SMP サドル TRK LARGE GEL BLACK ブラック,,11770,https://www.amazon.co.jp/SELLE-SMP-LARGE-BLACK-%E3%83%96%E3%83%A9%E3%83%83%E3%82%AF/dp/B07MXF2TR1/ref=sr_1_1?__mk_ja_JP=%E3%82%AB%E3%82%BF%E3%82%AB%E3%83%8A&crid=LNJNN05D1B5L&dib=eyJ2IjoiMSJ9.fuU27uDliJUJmrcVHLs34mKSz52M-tS1i5EOHxQfohw4JSyryji7YwOlGuwN02XCerBFGNNDtfOnexcZ1agy40jGe6SSWp1YHmRbLeAfOSOx5AhtRqnzN0cnZXMgD2cbfkGeqMBO96NWD-7jeytS1yrtVfJ21ULCL0vK7j8OsxAHiPG9xJD8azoJMVDLhP0v8BiskjlwGEjTiNX6WEluVJxuF63hCu0CZUxlTr-wqW2ieX_O-VCi9L6oshZOb59TZQy16CVN86yBU8gyvvmDWBDZk6MO7OSCleMcoQnYK6o.BKelyM2ldsH9dTAlpQJQY7ngB9Zzt7IN8zp64HBDiGE&dib_tag=se&keywords=TRK+%E3%83%A1%E3%83%B3%E3%82%BA+%E3%82%B8%E3%82%A7%E3%83%AB%E3%82%B5%E3%83%89%E3%83%AB&qid=1782382604&refinements=p_36%3A320000-&rnid=401076011&sprefix=%2Caps%2C612&sr=8-1,https://m.media-amazon.com/images/I/61E3+JKfN5L._AC_UL320_.jpg,saddle,saddle_20260625.csv,1
B00FFZ6JFA,SELLE SMP(セラSMP) TRK メンズ ゲル サドル TRKGEL-BK ブラック,,11609,https://www.amazon.co.jp/SELLE-SMP-%E3%82%BB%E3%83%A9SMP-TRKGEL-BK-%E3%83%96%E3%83%A9%E3%83%83%E3%82%AF/dp/B00FFZ6JFA/ref=sr_1_2?__mk_ja_JP=%E3%82%AB%E3%82%BF%E3%82%AB%E3%83%8A&crid=LNJNN05D1B5L&dib=eyJ2IjoiMSJ9.fuU27uDliJUJmrcVHLs34mKSz52M-tS1i5EOHxQfohw4JSyryji7YwOlGuwN02XCerBFGNNDtfOnexcZ1agy40jGe6SSWp1YHmRbLeAfOSOx5AhtRqnzN0cnZXMgD2cbfkGeqMBO96NWD-7jeytS1yrtVfJ21ULCL0vK7j8OsxAHiPG9xJD8azoJMVDLhP0v8BiskjlwGEjTiNX6WEluVJxuF63hCu0CZUxlTr-wqW2ieX_O-VCi9L6oshZOb59TZQy16CVN86yBU8gyvvmDWBDZk6MO7OSCleMcoQnYK6o.BKelyM2ldsH9dTAlpQJQY7ngB9Zzt7IN8zp64HBDiGE&dib_tag=se&keywords=TRK+%E3%83%A1%E3%83%B3%E3%82%BA+%E3%82%B8%E3%82%A7%E3%83%AB%E3%82%B5%E3%83%89%E3%83%AB&qid=1782382604&refinements=p_36%3A320000-&rnid=401076011&sprefix=%2Caps%2C612&sr=8-2,https://m.media-amazon.com/images/I/41WepVUx4tL._AC_UL320_.jpg,saddle,saddle_20260625.csv,2
B0069HRSQ2,SELLE SMP(セラSMP) TRK MEDIUM BLACK MATT(ティーアールケイ ミディアム ブラックマット) サドル TRKMED03-NE,,9050,https://www.amazon.co.jp/SELLE-SMP-%E3%83%86%E3%82%A3%E3%83%BC%E3%82%A2%E3%83%BC%E3%83%AB%E3%82%B1%E3%82%A4-%E3%83%96%E3%83%A9%E3%83%83%E3%82%AF%E3%83%9E%E3%83%83%E3%83%88-TRKMED03-NE/dp/B0069HRSQ2/ref=sr_1_3?__mk_ja_JP=%E3%82%AB%E3%82%BF%E3%82%AB%E3%83%8A&crid=LNJNN05D1B5L&dib=eyJ2IjoiMSJ9.fuU27uDliJUJmrcVHLs34mKSz52M-tS1i5EOHxQfohw4JSyryji7YwOlGuwN02XCerBFGNNDtfOnexcZ1agy40jGe6SSWp1YHmRbLeAfOSOx5AhtRqnzN0cnZXMgD2cbfkGeqMBO96NWD-7jeytS1yrtVfJ21ULCL0vK7j8OsxAHiPG9xJD8azoJMVDLhP0v8BiskjlwGEjTiNX6WEluVJxuF63hCu0CZUxlTr-wqW2ieX_O-VCi9L6oshZOb59TZQy16CVN86yBU8gyvvmDWBDZk6MO7OSCleMcoQnYK6o.BKelyM2ldsH9dTAlpQJQY7ngB9Zzt7IN8zp64HBDiGE&dib_tag=se&keywords=TRK+%E3%83%A1%E3%83%B3%E3%82%BA+%E3%82%B8%E3%82%A7%E3%83%AB%E3%82%B5%E3%83%89%E3%83%AB&qid=1782382604&refinements=p_36%3A320000-&rnid=401076011&sprefix=%2Caps%2C612&sr=8-3,https://m.media-amazon.com/images/I/41rHYNH9IDL._AC_UL320_.jpg,saddle,saddle_20260625.csv,3
B0817WWL38,SELLE SMP サドル TRK MEDIUM GEL TRKミディアムゲル ブラック,,13688,https://www.amazon.co.jp/SELLE-SMP-MEDIUM-TRK%E3%83%9F%E3%83%87%E3%82%A3%E3%82%A2%E3%83%A0%E3%82%B2%E3%83%AB-%E3%83%96%E3%83%A9%E3%83%83%E3%82%AF/dp/B0817WWL38/ref=sr_1_4?__mk_ja_JP=%E3%82%AB%E3%82%BF%E3%82%AB%E3%83%8A&crid=LNJNN05D1B5L&dib=eyJ2IjoiMSJ9.fuU27uDliJUJmrcVHLs34mKSz52M-tS1i5EOHxQfohw4JSyryji7YwOlGuwN02XCerBFGNNDtfOnexcZ1agy40jGe6SSWp1YHmRbLeAfOSOx5AhtRqnzN0cnZXMgD2cbfkGeqMBO96NWD-7jeytS1yrtVfJ21ULCL0vK7j8OsxAHiPG9xJD8azoJMVDLhP0v8BiskjlwGEjTiNX6WEluVJxuF63hCu0CZUxlTr-wqW2ieX_O-VCi9L6oshZOb59TZQy16CVN86yBU8gyvvmDWBDZk6MO7OSCleMcoQnYK6o.BKelyM2ldsH9dTAlpQJQY7ngB9Zzt7IN8zp64HBDiGE&dib_tag=se&keywords=TRK+%E3%83%A1%E3%83%B3%E3%82%BA+%E3%82%B8%E3%82%A7%E3%83%AB%E3%82%B5%E3%83%89%E3%83%AB&qid=1782382604&refinements=p_36%3A320000-&rnid=401076011&sprefix=%2Caps%2C612&sr=8-4,https://m.media-amazon.com/images/I/312fAGU+MPL._AC_UL320_.jpg,saddle,saddle_20260625.csv,4
B01M114JHD,セライタリア(Selle Italia) SELLA ITALIA SPORT Gel FeC BLK FLOW サドル,,6826,https://www.amazon.co.jp/SELLA-ITALIA-%E3%82%BB%E3%83%A9%E3%82%A4%E3%82%BF%E3%83%AA%E3%82%A2-SPORT-FLOW/dp/B01M114JHD/ref=sr_1_5?__mk_ja_JP=%E3%82%AB%E3%82%BF%E3%82%AB%E3%83%8A&crid=LNJNN05D1B5L&dib=eyJ2IjoiMSJ9.fuU27uDliJUJmrcVHLs34mKSz52M-tS1i5EOHxQfohw4JSyryji7YwOlGuwN02XCerBFGNNDtfOnexcZ1agy40jGe6SSWp1YHmRbLeAfOSOx5AhtRqnzN0cnZXMgD2cbfkGeqMBO96NWD-7jeytS1yrtVfJ21ULCL0vK7j8OsxAHiPG9xJD8azoJMVDLhP0v8BiskjlwGEjTiNX6WEluVJxuF63hCu0CZUxlTr-wqW2ieX_O-VCi9L6oshZOb59TZQy16CVN86yBU8gyvvmDWBDZk6MO7OSCleMcoQnYK6o.BKelyM2ldsH9dTAlpQJQY7ngB9Zzt7IN8zp64HBDiGE&dib_tag=se&keywords=TRK+%E3%83%A1%E3%83%B3%E3%82%BA+%E3%82%B8%E3%82%A7%E3%83%AB%E3%82%B5%E3%83%89%E3%83%AB&qid=1782382604&refinements=p_36%3A320000-&rnid=401076011&sprefix=%2Caps%2C612&sr=8-5,https://m.media-amazon.com/images/I/61KO6MCP0IL._AC_UL320_.jpg,saddle,saddle_20260625.csv,5
B08X22HQS9,Selle SMP TRK ジェルサドル Lサイズ,,23978,https://www.amazon.co.jp/Selle-SMP-TRK-%E3%82%B8%E3%82%A7%E3%83%AB%E3%82%B5%E3%83%89%E3%83%AB-L%E3%82%B5%E3%82%A4%E3%82%BA/dp/B08X22HQS9/ref=sr_1_6?__mk_ja_JP=%E3%82%AB%E3%82%BF%E3%82%AB%E3%83%8A&crid=LNJNN05D1B5L&dib=eyJ2IjoiMSJ9.fuU27uDliJUJmrcVHLs34mKSz52M-tS1i5EOHxQfohw4JSyryji7YwOlGuwN02XCerBFGNNDtfOnexcZ1agy40jGe6SSWp1YHmRbLeAfOSOx5AhtRqnzN0cnZXMgD2cbfkGeqMBO96NWD-7jeytS1yrtVfJ21ULCL0vK7j8OsxAHiPG9xJD8azoJMVDLhP0v8BiskjlwGEjTiNX6WEluVJxuF63hCu0CZUxlTr-wqW2ieX_O-VCi9L6oshZOb59TZQy16CVN86yBU8gyvvmDWBDZk6MO7OSCleMcoQnYK6o.BKelyM2ldsH9dTAlpQJQY7ngB9Zzt7IN8zp64HBDiGE&dib_tag=se&keywords=TRK+%E3%83%A1%E3%83%B3%E3%82%BA+%E3%82%B8%E3%82%A7%E3%83%AB%E3%82%B5%E3%83%89%E3%83%AB&qid=1782382604&refinements=p_36%3A320000-&rnid=401076011&sprefix=%2Caps%2C612&sr=8-6,https://m.media-amazon.com/images/I/61-aqAWWdmL._AC_UL320_.jpg,saddle,saddle_20260625.csv,6
B07H3KS2HY,Ergon ST Gel メンズ ブラック M/L。 | 自転車用サドルとシート。,,13334,https://www.amazon.co.jp/Ergon-%E3%82%B8%E3%82%A7%E3%83%AB-%E3%83%A1%E3%83%B3%E3%82%BA-%E3%82%B5%E3%83%89%E3%83%AB%EF%BC%9A%E3%83%9F%E3%83%87%E3%82%A3%E3%82%A2%E3%83%A0-%E3%83%A9%E3%83%BC%E3%82%B8%E3%80%81%E3%83%96%E3%83%A9%E3%83%83%E3%82%AF/dp/B07H3KS2HY/ref=sr_1_7?__mk_ja_JP=%E3%82%AB%E3%82%BF%E3%82%AB%E3%83%8A&crid=LNJNN05D1B5L&dib=eyJ2IjoiMSJ9.fuU27uDliJUJmrcVHLs34mKSz52M-tS1i5EOHxQfohw4JSyryji7YwOlGuwN02XCerBFGNNDtfOnexcZ1agy40jGe6SSWp1YHmRbLeAfOSOx5AhtRqnzN0cnZXMgD2cbfkGeqMBO96NWD-7jeytS1yrtVfJ21ULCL0vK7j8OsxAHiPG9xJD8azoJMVDLhP0v8BiskjlwGEjTiNX6WEluVJxuF63hCu0CZUxlTr-wqW2ieX_O-VCi9L6oshZOb59TZQy16CVN86yBU8gyvvmDWBDZk6MO7OSCleMcoQnYK6o.BKelyM2ldsH9dTAlpQJQY7ngB9Zzt7IN8zp64HBDiGE&dib_tag=se&keywords=TRK+%E3%83%A1%E3%83%B3%E3%82%BA+%E3%82%B8%E3%82%A7%E3%83%AB%E3%82%B5%E3%83%89%E3%83%AB&qid=1782382604&refinements=p_36%3A320000-&rnid=401076011&sprefix=%2Caps%2C612&sr=8-7,https://m.media-amazon.com/images/I/715Ow8cMGyL._AC_UL320_.jpg,saddle,saddle_20260625.csv,7
B0817VT3G6,SELLE SMP サドル TRK LARGE GEL TRKラージゲル ブラック,,13688,https://www.amazon.co.jp/SELLE-SMP-LARGE-TRK%E3%83%A9%E3%83%BC%E3%82%B8%E3%82%B2%E3%83%AB-%E3%83%96%E3%83%A9%E3%83%83%E3%82%AF/dp/B0817VT3G6/ref=sr_1_8?__mk_ja_JP=%E3%82%AB%E3%82%BF%E3%82%AB%E3%83%8A&crid=LNJNN05D1B5L&dib=eyJ2IjoiMSJ9.fuU27uDliJUJmrcVHLs34mKSz52M-tS1i5EOHxQfohw4JSyryji7YwOlGuwN02XCerBFGNNDtfOnexcZ1agy40jGe6SSWp1YHmRbLeAfOSOx5AhtRqnzN0cnZXMgD2cbfkGeqMBO96NWD-7jeytS1yrtVfJ21ULCL0vK7j8OsxAHiPG9xJD8azoJMVDLhP0v8BiskjlwGEjTiNX6WEluVJxuF63hCu0CZUxlTr-wqW2ieX_O-VCi9L6oshZOb59TZQy16CVN86yBU8gyvvmDWBDZk6MO7OSCleMcoQnYK6o.BKelyM2ldsH9dTAlpQJQY7ngB9Zzt7IN8zp64HBDiGE&dib_tag=se&keywords=TRK+%E3%83%A1%E3%83%B3%E3%82%BA+%E3%82%B8%E3%82%A7%E3%83%AB%E3%82%B5%E3%83%89%E3%83%AB&qid=1782382604&refinements=p_36%3A320000-&rnid=401076011&sprefix=%2Caps%2C612&sr=8-8,https://m.media-amazon.com/images/I/312I+BSUiDL._AC_UL320_.jpg,saddle,saddle_20260625.csv,8
B001MJWN4O,サーファス(SERFAS) 自転車 サドル コンフォート 衝撃吸収 リアクティブジェル メンズ 651403,,3955,https://www.amazon.co.jp/SERFAS-%E3%82%B5%E3%83%BC%E3%83%95%E3%82%A1%E3%82%B9-%E3%82%B3%E3%83%B3%E3%83%95%E3%82%A9%E3%83%BC%E3%83%88-%E3%83%AA%E3%82%A2%E3%82%AF%E3%83%86%E3%82%A3%E3%83%96%E3%82%B8%E3%82%A7%E3%83%AB-651403/dp/B001MJWN4O/ref=sr_1_9?__mk_ja_JP=%E3%82%AB%E3%82%BF%E3%82%AB%E3%83%8A&crid=LNJNN05D1B5L&dib=eyJ2IjoiMSJ9.fuU27uDliJUJmrcVHLs34mKSz52M-tS1i5EOHxQfohw4JSyryji7YwOlGuwN02XCerBFGNNDtfOnexcZ1agy40jGe6SSWp1YHmRbLeAfOSOx5AhtRqnzN0cnZXMgD2cbfkGeqMBO96NWD-7jeytS1yrtVfJ21ULCL0vK7j8OsxAHiPG9xJD8azoJMVDLhP0v8BiskjlwGEjTiNX6WEluVJxuF63hCu0CZUxlTr-wqW2ieX_O-VCi9L6oshZOb59TZQy16CVN86yBU8gyvvmDWBDZk6MO7OSCleMcoQnYK6o.BKelyM2ldsH9dTAlpQJQY7ngB9Zzt7IN8zp64HBDiGE&dib_tag=se&keywords=TRK+%E3%83%A1%E3%83%B3%E3%82%BA+%E3%82%B8%E3%82%A7%E3%83%AB%E3%82%B5%E3%83%89%E3%83%AB&qid=1782382604&refinements=p_36%3A320000-&rnid=401076011&sprefix=%2Caps%2C612&sr=8-9,https://m.media-amazon.com/images/I/61sg1WyUYNL._AC_UL320_.jpg,saddle,saddle_20260625.csv,9
B083MB7FP3,Ergon メンズ SMC スポーツジェルサドル ブラック M/L | 自転車用サドルとシート。,,21947,https://www.amazon.co.jp/Ergon-%E3%82%B9%E3%83%9D%E3%83%BC%E3%83%84%E3%82%B8%E3%82%A7%E3%83%AB%E3%82%B5%E3%83%89%E3%83%AB-%E3%83%9E%E3%82%A6%E3%83%B3%E3%83%86%E3%83%B3%E3%80%81%E3%83%88%E3%83%AC%E3%82%A4%E3%83%AB%E3%80%81%E7%A0%82%E5%88%A9%E3%80%81%E3%83%90%E3%82%A4%E3%82%AF%E3%83%91%E3%83%83%E3%82%AD%E3%83%B3%E3%82%B0%E3%83%90%E3%82%A4%E3%82%AF%E7%94%A8-%E3%83%A1%E3%83%B3%E3%82%BA%E3%82%AA%E3%83%97%E3%82%B7%E3%83%A7%E3%83%B3-%E3%82%B9%E3%83%86%E3%83%AB%E3%82%B9%E3%83%96%E3%83%A9%E3%83%83%E3%82%AF/dp/B083MB7FP3/ref=sr_1_10?__mk_ja_JP=%E3%82%AB%E3%82%BF%E3%82%AB%E3%83%8A&crid=LNJNN05D1B5L&dib=eyJ2IjoiMSJ9.fuU27uDliJUJmrcVHLs34mKSz52M-tS1i5EOHxQfohw4JSyryji7YwOlGuwN02XCerBFGNNDtfOnexcZ1agy40jGe6SSWp1YHmRbLeAfOSOx5AhtRqnzN0cnZXMgD2cbfkGeqMBO96NWD-7jeytS1yrtVfJ21ULCL0vK7j8OsxAHiPG9xJD8azoJMVDLhP0v8BiskjlwGEjTiNX6WEluVJxuF63hCu0CZUxlTr-wqW2ieX_O-VCi9L6oshZOb59TZQy16CVN86yBU8gyvvmDWBDZk6MO7OSCleMcoQnYK6o.BKelyM2ldsH9dTAlpQJQY7ngB9Zzt7IN8zp64HBDiGE&dib_tag=se&keywords=TRK+%E3%83%A1%E3%83%B3%E3%82%BA+%E3%82%B8%E3%82%A7%E3%83%AB%E3%82%B5%E3%83%89%E3%83%AB&qid=1782382604&refinements=p_36%3A320000-&rnid=401076011&sprefix=%2Caps%2C612&sr=8-10,https://m.media-amazon.com/images/I/51VFJ0BLeGL._AC_UL320_.jpg,saddle,saddle_20260625.csv,10
